Series1	Series2	Series3	real_measure
0.00778222	-0.456367098	2.352181645	2.47
2.738273263	2.619737251	2.505986863	2.47
4.144260994	3.449639798	2.54748199	2.47
0.058900723	0.23577656	2.386788828	2.47
2.646717734	2.573619049	2.503680952	2.47
4.196905423	3.491917659	2.549595883	2.47
3.176213874	2.845771696	2.517288585	2.47
3.139744255	2.826425607	2.51632128	2.47
1.672414319	2.072431761	2.478621588	2.47
0.918607135	1.59872713	2.454936357	2.47
0.802789392	1.50783223	2.450391611	2.47
4.314859462	3.593769697	2.554688485	2.47
3.68694113	3.135313882	2.531765694	2.47
0.141911069	0.594881448	2.404744072	2.47
1.678823206	2.075950369	2.478797518	2.47
3.011719108	2.759418584	2.512970929	2.47
2.733390301	2.617272521	2.505863626	2.47
0.256660665	0.867929948	2.418396497	2.47
1.574602496	2.018049663	2.475902483	2.47
1.598254341	2.031324875	2.476566244	2.47
0.168156987	0.670087565	2.408504378	2.47
4.315164647	3.594047093	2.554702355	2.47
2.468794824	2.484355554	2.499217778	2.47
3.234504227	2.876967364	2.518848368	2.47
1.729331339	2.103494416	2.480174721	2.47
1.951658681	2.221544555	2.486077228	2.47
2.412640767	2.456190777	2.497809539	2.47
0.397808771	1.091974872	2.429598744	2.47
2.583239235	2.541741259	2.502087063	2.47
2.36732078	2.43343522	2.496671761	2.47
2.20496231	2.35154659	2.49257733	2.47
2.990966521	2.748674041	2.512433702	2.47
3.631092257	3.10141474	2.530070737	2.47
3.533890805	3.043996066	2.527199803	2.47
3.401440474	2.968504595	2.52342523	2.47
2.432172613	2.465989446	2.498299472	2.47
4.857631153	4.403708835	2.595185442	2.47
0.275582141	0.902854544	2.420142727	2.47
4.695577868	4.047391548	2.577369577	2.47
0.641956847	1.36597152	2.443298576	2.47
4.00021363	3.341773726	2.542088686	2.47
1.384472182	1.90790758	2.470395379	2.47
1.198461867	1.792708708	2.464635435	2.47
0.326242866	0.987855919	2.424392796	2.47
1.322977386	1.870759269	2.468537963	2.47
3.424176763	2.981263669	2.524063183	2.47
3.651539659	3.113745215	2.530687261	2.47
0.464949492	1.177435542	2.433871777	2.47
3.775139622	3.190397428	2.534519871	2.47
1.379741813	1.905079052	2.470253953	2.47
2.100589007	2.298408226	2.489920411	2.47
3.412732322	2.974831268	2.523741563	2.47
4.31470687	3.593630999	2.55468155	2.47
